"id","sp","rep","site","ind","twig","treatcode","warm","photo","chill","position","gen","row","col"
"ILEMUC05_HF_03","ILEMUC","05","HF","ILEMUC05_HF","03","CS1","cool","short","chill1",64,"ILE",8,8
"ACERUB11_HF_11","ACERUB","11","HF","ACERUB11_HF","11","CS1","cool","short","chill1",64,"ACE",8,8
"FAGGRA03_HF_03","FAGGRA","03","HF","FAGGRA03_HF","03","CS1","cool","short","chill1",65,"FAG",1,9
"BETALL20_HF_04","BETALL","20","HF","BETALL20_HF","04","CS1","cool","short","chill1",65,"BET",1,9
"BETALL02_SH_10","BETALL","02","SH","BETALL02_SH","10","WL1","warm","long","chill1",1,"BET",1,1
"ACESAC07_HF_06","ACESAC","07","HF","ACESAC07_HF","06","WL1","warm","long","chill1",1,"ACE",1,1
"ACERUB13_HF_06","ACERUB","13","HF","ACERUB13_HF","06","WL1","warm","long","chill1",2,"ACE",2,1
"BETPAP15_HF_11","BETPAP","15","HF","BETPAP15_HF","11","WL1","warm","long","chill1",2,"BET",2,1
"POPGRA06_SH_08","POPGRA","06","SH","POPGRA06_SH","08","WL1","warm","long","chill1",3,"POP",3,1
"VIBCAS07_HF_06","VIBCAS","07","HF","VIBCAS07_HF","06","WL1","warm","long","chill1",3,"VIB",3,1
"BETALL18_HF_06","BETALL","18","HF","BETALL18_HF","06","WL1","warm","long","chill1",4,"BET",4,1
"ACERUB10_SH_02","ACERUB","10","SH","ACERUB10_SH","02","WL1","warm","long","chill1",4,"ACE",4,1
"QUERUB10_SH_03","QUERUB","10","SH","QUERUB10_SH","03","WL1","warm","long","chill1",5,"QUE",5,1
"VIBCAS03_HF_05","VIBCAS","03","HF","VIBCAS03_HF","05","WL1","warm","long","chill1",5,"VIB",5,1
"VIBLAN03_HF_09","VIBLAN","03","HF","VIBLAN03_HF","09","WL1","warm","long","chill1",6,"VIB",6,1
"FAGGRA04_SH_03","FAGGRA","04","SH","FAGGRA04_SH","03","WL1","warm","long","chill1",6,"FAG",6,1
"VIBCAS04_HF_11","VIBCAS","04","HF","VIBCAS04_HF","11","WL1","warm","long","chill1",7,"VIB",7,1
"ACEPEN02_HF_06","ACEPEN","02","HF","ACEPEN02_HF","06","WL1","warm","long","chill1",7,"ACE",7,1
"ACESAC05_HF_01","ACESAC","05","HF","ACESAC05_HF","01","WL1","warm","long","chill1",8,"ACE",8,1
"QUERUB04_SH_07","QUERUB","04","SH","QUERUB04_SH","07","WL1","warm","long","chill1",8,"QUE",8,1
